"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL"
"spotify:track:7dblNGnRXEBrVJunazs2U5","All I Have to Do Is Dream","The Everly Brothers","The Everly Brothers","1964-08-01","https://i.scdn.co/image/ab67616d0000b273e9a522d43a304d4d433ff251","https://p.scdn.co/mp3-preview/064cab5991af814508a07693fbe3323838d818d9?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","Blinding Lights","The Weeknd","The Weeknd","2020-03-20","https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36","https://p.scdn.co/mp3-preview/51c08d92815cce4ac2de94a7335a430b81234624?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:3l9KybL4tK1jAP7u3UkWwe","Deal With It","Riz Ahmed","Riz Ahmed","2020-03-06","https://i.scdn.co/image/ab67616d0000b2733662e4a76db4bbfd9fd23f70","https://p.scdn.co/mp3-preview/8cc1c822e059244eb999cb4b26e186d63f80ebfc?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4e72LGraX8sW5iztJvS5fo","Oh!","The Linda Lindas","The Linda Lindas","2021-07-21","https://i.scdn.co/image/ab67616d0000b273c890c72d9ae42e4cc89c5498","https://p.scdn.co/mp3-preview/fc2a58ad17340c343f3dcc675d0a9e9c4e6796bf?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0U9i80PmEhdWAfDUeOuuWU","Star Spangled Man","The Star Spangled Singers","Various Artists","2011-01-01","https://i.scdn.co/image/ab67616d0000b273ef529a395ac460e574838673","https://p.scdn.co/mp3-preview/ed5df946fdc200c69d42bebbd71643d1f829f835?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:1S1NSccaYJYhg5z5V2otDC","Ko Ko Koreena","Ahmed Rushdi","Ahmed Rushdi","2016-02-25","https://i.scdn.co/image/ab67616d0000b273f50a208050a480301021b9f6","https://p.scdn.co/mp3-preview/e90c2b18f6424cce4e48ee7187d26abf317f5a63?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:3T7Y3RNWqJJTnhoIGR7RCp","Sinkies","Hot Sugar","Hot Sugar","2015-02-24","https://i.scdn.co/image/ab67616d0000b2736a552f09a526732bc323090b","https://p.scdn.co/mp3-preview/3191ddff1bc40b56c84c0433dfa31f36b3a1406f?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2Iq6HhIquO7JKr0KfTNLzU","My Type","Saint Motel","Saint Motel","2014-08-16","https://i.scdn.co/image/ab67616d0000b273500a95f36178e1c86a835077","https://p.scdn.co/mp3-preview/c757c40d4c35e003ed74a79cc84c1ccc5c264005?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0cBrAB2CBHsEds330w9VGk","Sohniye I love You (From ""Babul Veer"")","Nahida Akhtar","Nahid Akhtar","2016-11-11","https://i.scdn.co/image/ab67616d0000b273dcb18d2db6c7a8940bb7ba49","https://p.scdn.co/mp3-preview/a7011de189774d4b38f22268dd2ab9f6618a2510?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2MKceKWilgjYW6lgVYyAOr","Rozi","Eva B","Eva B","2022-06-08","https://i.scdn.co/image/ab67616d0000b273657220ee039b6e08f609be77","https://p.scdn.co/mp3-preview/82728618097e41fba7be60c3db970a51b1b414f2?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4vRUf6njpOVMCIjlDhw74q","Feel So Good","Mase","Mase","2019-10-04","https://i.scdn.co/image/ab67616d0000b27346293f560c191b148bf55d40","https://p.scdn.co/mp3-preview/314195c4cb69184502993f48591272610012d7f3?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4KIoBpLdHX7nERPfDROJWR","Goddess","Krewella, NERVO, Raja Kumari","Krewella, NERVO, Raja Kumari","2020-05-29","https://i.scdn.co/image/ab67616d0000b273dadc293ef34032dbb6701e7e","https://p.scdn.co/mp3-preview/3cfb8b754cec2c133db2358d3faac1bae2969fcc?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7iO8C8WokR1folp9mPdN2t","Come Around","M.I.A., Timbaland","M.I.A.","2007-08-20","https://i.scdn.co/image/ab67616d0000b273310d9098fbbde47bf7785637","https://p.scdn.co/mp3-preview/d961851f8575898ea488d683d6ee153d6e8d32e1?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:76BoEu8UNKin5URnBsJRCv","Keep on Movin'","B. Stew","B. Stew","2022-05-27","https://i.scdn.co/image/ab67616d0000b273cf78fc2b5cf84db59ae693ea","https://p.scdn.co/mp3-preview/6f012fb51603b8de0ad446a3567eb4af86cb47df?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6GKGoi0FHzldk1ZRQoV1fv","Jalebi Baby","Tesher","Tesher","2020-11-13","https://i.scdn.co/image/ab67616d0000b27358ad3c6d598cb14b31c334dc","https://p.scdn.co/mp3-preview/e27125883aa70d0e8ffe88de44f82d3296248f6f?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:429n3SCqWbzKQw25E66AGo","Anthem","Swet Shop Boys, Riz Ahmed, Heems","Swet Shop Boys, Riz Ahmed, Heems","2017-05-26","https://i.scdn.co/image/ab67616d0000b273554f93673bfbb2d9310433a9","https://p.scdn.co/mp3-preview/f0f11bc4fd244d8b7a1287e24c095e4e03f86839?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2G2YzndIA6jeWFPBXhUjh5","Be My Baby","The Ronettes","The Ronettes","2011-02-22","https://i.scdn.co/image/ab67616d0000b2734694c5b97d3a88efb5fc71b5","https://p.scdn.co/mp3-preview/1afcbd164ede375be899615268a947d6f96edaaa?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:43mHckutQvJr49nT0UvRxy","Sage","Ritviz","Ritviz","2019-07-01","https://i.scdn.co/image/ab67616d0000b273677c4cabe500b906c4a8e207","https://p.scdn.co/mp3-preview/31815531fba04f8bb3a66929c6de5f6ac6bf1bfb?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0cz3JQM3hR1r5m1xJQbJly","Attitude","PayAttention","PayAttention","2021-03-12","https://i.scdn.co/image/ab67616d0000b27300036a462c3590fe6b92d4b5","https://p.scdn.co/mp3-preview/9817318869c9eb68b3d66357226db39d21b452d9?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6ePcfMCQ7uUKwAamUiVtXL","Peechay Hutt","Hasan Raheem, Justin Bibis, Talal Qureshi","Hasan Raheem, Justin Bibis, Talal Qureshi","2022-02-19","https://i.scdn.co/image/ab67616d0000b2739955ac36b14137acf81cd89c","https://p.scdn.co/mp3-preview/785d46430122f360e4ce25bb7dcf5232781ed40a?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5nxzbU3gRqImVm9UMrLXwv","Husan - Original Mix","Husan, Bhangra Knights","Husan, Bhangra Knights","2003-10-24","https://i.scdn.co/image/ab67616d0000b273d207c1d388a8d44aaff0cee2","https://p.scdn.co/mp3-preview/7f6d951bb1ce3f20d543ae42d696b7cdbc021056?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5V0LgbxFCESAXQfxstEaOP","Mehendi Rachnewali","Sidhant Kapoor, Madhu Roy","Sidhant Kapoor","2020-02-28","https://i.scdn.co/image/ab67616d0000b2732e28f656c8af494d5163fc76","https://p.scdn.co/mp3-preview/26e2888d7502976c29f0be8da3585a520700141a?cid=9950ac751e34487dbbe027c4fd7f8e99"
