"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL"
"spotify:track:52NljNc8iekEE6Gq7RZ43E","Across the Spider-Verse (Start a Band)","Daniel Pemberton","Daniel Pemberton","2023-06-02","https://i.scdn.co/image/ab67616d0000b273183a93277b6ceece310fa366","https://p.scdn.co/mp3-preview/b7a791b2ed9c0feffabc3f8ee1e10954afadb0b9?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:39MK3d3fonIP8Mz9oHCTBB","Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Metro Boomin, Swae Lee, Lil Wayne, Offset","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/55f79595d431d76086fdbe4398935a66a758c1ca?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6Ec5LeRzkisa5KJtwLfOoW","Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin, A$AP Rocky, Roisee","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/3797cc439191de6c43be0aa5c6e1aa9479194e3a?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0B6g379TMw0nYGXA7y5xHz","All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Metro Boomin, Future, Lil Uzi Vert","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/a452dc4d3f66a04e9d189b9c71baa8b3776201b8?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:3X6qK1LdMkSOhklwRa2ZfG","Danger (Spider) (Offset & JID)","Offset, JID","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/8e156f59d9f3f7162fe8c3dbfc656a1088c80383?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6HexNTb392JS071DoTGo0y","Hummingbird (Metro Boomin & James Blake)","Metro Boomin, James Blake","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/c4d77741f1225597df0179845f63cbd0d11d40fb?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5rurggqwwudn9clMdcchxT","Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Metro Boomin, Swae Lee, NAV, A Boogie Wit da Hoodie","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/f4f13751297cc17a1f284bae8a13b30572c08770?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5Lv5L45PQmp5CTjs5PlQ6e","Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix","EI8HT, Offset","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/a637188da69bbdd6fcd0ce3e09cad44e3873d3b6?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0y8Pu7x5jXgUjOIJvQIF5L","Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","Metro Boomin, Don Toliver, Wizkid, BEAM, Toian","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/b3fe4d14e308788d0493a6ae2ff685f29de6b2fc?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0AAMnNeIc6CdnfNU85GwCH","Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)","Metro Boomin, Coi Leray","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/a3b8fa8de995cd1d96b3fbdb0947e4291bd89f4a?cid=9950ac751e34487dbbe027c4fd7f8e99"
